deployment_id,pipeline_id,service,environment,deploy_timestamp,deployed_by,status,commit_id,branch,outcome,has_rollback,rollback_id,rollback_reason,matched_incident_id,incident_priority,incident_category,incident_opened_at,incident_resolved_at,time_to_resolution_hours,day_of_week,day_of_week_num,deploy_hour,is_weekend,is_after_hours,time_bucket,deploy_quarter,month_sin,month_cos,priority_bucket,priority_numeric,is_instability,risk_score_weight,sla_breach_flag,escalation_depth,reopen_risk_score,job_duration_seconds,test_pass_rate,security_finding_count,lines_changed,flaky_test_flag,composite_risk_score
DEP-PIPE-1001-001,PIPE-1001,inventory-db-migrator,staging,2026-08-01 10:58:47,glory_ops,Skipped,ccb2b4,main,stable,0,,,,,,,,0.0,Saturday,5,10,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,0.0,0.0,1328,0.9339999999999999,7,815,0,62.28
DEP-PIPE-1002-002,PIPE-1002,auth-service,production,2026-08-01 13:37:00,maya_eng,Skipped,c5798b,main,stable,0,,,,,,,,0.0,Saturday,5,13,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2052,0.93,1,792,0,44.6
DEP-PIPE-1003-003,PIPE-1003,auth-servicee,development,2026-08-01 15:20:23,saanvi_lead,Success,c7e3f9,main,stable,0,,,,,,,,0.0,Saturday,5,15,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1603,0.9800000000000001,2,785,0,49.0
DEP-PIPE-1004-004,PIPE-1004,payment-apie,development,2026-08-01 19:00:11,jordan_qa,Skipped,c522c8,main,stable,0,,,,,,,,0.0,Saturday,5,19,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1865,0.9339999999999999,3,428,0,74.28
DEP-PIPE-1005-005,PIPE-1005,inventory-db-migratore,development,2026-08-01 20:26:23,alex_dev,Success,c74241,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Saturday,5,20,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1268,0.9719999999999999,1,778,0,61.0
DEP-PIPE-1006-006,PIPE-1006,inventory-db-migratore,development,2026-08-01 22:54:30,system_bot,Skipped,cef392,feature/auth-refresh,stable,0,,,,,,,,0.0,Saturday,5,22,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1588,0.9039999999999999,6,642,1,82.68
DEP-PIPE-1007-007,PIPE-1007,auth-service,production,2026-08-02 00:45:26,maya_eng,Success,c22059,main,stable,0,,,,,,,,0.0,Sunday,6,0,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1504,0.976,0,745,0,55.0
DEP-PIPE-1008-008,PIPE-1008,auth-service,production,2026-08-02 04:19:05,glory_ops,Success,ceeda2,main,stable,0,,,,,,,,0.0,Sunday,6,4,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1863,0.984,1,720,0,61.0
DEP-PIPE-1009-009,PIPE-1009,auth-service,production,2026-08-02 06:00:34,glory_ops,Skipped,c99f37,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Sunday,6,6,1,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1316,0.962,2,347,0,67.0
DEP-PIPE-1010-010,PIPE-1010,web-frontend,production,2026-08-02 07:42:34,glory_ops,Failed,ce991f,main,rolled_back,1,RBK-8001,SecurityScanAlert_PostDeploy (Critical CVE in dynamic bundle),,,,,,0.0,Sunday,6,7,1,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1676,0.8719999999999999,5,825,1,100.0
DEP-PIPE-1011-011,PIPE-1011,web-frontend,production,2026-08-02 09:08:38,maya_eng,Success,cc061b,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,9,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1308,0.982,1,709,0,43.0
DEP-PIPE-1012-012,PIPE-1012,inventory-db-migrator,production,2026-08-02 12:41:37,saanvi_lead,Success,c84dd1,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,12,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1035,0.974,2,701,0,49.0
DEP-PIPE-1013-013,PIPE-1013,web-frontend,production,2026-08-02 15:37:52,maya_eng,Success,c46a7f,main,stable,0,,,,,,,,0.0,Sunday,6,15,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1544,0.97,3,713,0,55.0
DEP-PIPE-1014-014,PIPE-1014,inventory-db-migrator,production,2026-08-02 19:16:30,system_bot,Skipped,ccd2eb,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,19,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1826,0.958,5,213,0,79.0
DEP-PIPE-1015-015,PIPE-1015,web-frontend,production,2026-08-02 20:21:53,alex_dev,Skipped,c5eeb6,main,stable,0,,,,,,,,0.0,Sunday,6,20,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1513,0.9359999999999999,2,617,0,68.12
DEP-PIPE-1016-016,PIPE-1016,inventory-db-migratore,development,2026-08-02 23:50:13,glory_ops,Skipped,c3cd37,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Sunday,6,23,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1852,0.9259999999999999,8,586,0,80.92
DEP-PIPE-1017-017,PIPE-1017,auth-service,production,2026-08-03 02:03:12,saanvi_lead,Skipped,ce1d11,main,stable,0,,,,,,,,0.0,Monday,0,2,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1775,0.952,1,685,0,39.0
DEP-PIPE-1018-018,PIPE-1018,user-profile,production,2026-08-03 04:57:42,maya_eng,Success,c635ab,main,stable,0,,,,,,,,0.0,Monday,0,4,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2295,0.968,2,573,0,45.0
DEP-PIPE-1019-019,PIPE-1019,payment-api,production,2026-08-03 06:54:10,saanvi_lead,Success,c21b76,main,stable,0,,,,,,,,0.0,Monday,0,6,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1219,0.984,3,842,0,51.0
DEP-PIPE-1020-020,PIPE-1020,inventory-db-migrator,production,2026-08-03 09:59:59,system_bot,Success,ccd991,main,stable,0,,,,,,,,0.0,Monday,0,9,0,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1355,0.974,2,833,0,27.0
