workflow_run_id,repository,workflow_name,event_trigger,status,conclusion,created_at,updated_at,run_attempt,jobs_count,runner_os,step_failure_count
GHA-5001,payment-service,release-tagger.yml,schedule,completed,success,2026-08-01 08:52:00,2026-08-01 09:16:00,1,4,windows-latest,0
GHA-5002,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,pull_request,completed,success,2026-08-01 11:20:00,2026-08-01 11:44:00,1,2,self-hosted-runner,0
GHA-5003,SW2627-AI-ReleaseGuard,integration-tests.yml,schedule,completed,success,2026-08-01 13:06:00,2026-08-01 13:20:00,1,5,macos-latest,0
GHA-5004,payment-service,security-audit.yml,schedule,completed,success,2026-08-01 14:07:00,2026-08-01 14:26:00,1,4,self-hosted-runner,0
GHA-5005,payment-service,ci-build.yml,pull_request,completed,success,2026-08-01 15:02:00,2026-08-01 15:16:00,1,7,macos-latest,0
GHA-5006,payment-service,cd-deploy-k8s.yml,pull_request,completed,timed_out,2026-08-01 16:26:00,2026-08-01 16:44:00,1,5,ubuntu-latest,2
GHA-5007,SW2627-AI-ReleaseGuard,ci-build.yml,workflow_dispatch,completed,success,2026-08-01 17:49:00,2026-08-01 18:08:00,1,2,ubuntu-latest,0
GHA-5008,web-client,release-tagger.yml,workflow_dispatch,completed,success,2026-08-01 18:54:00,2026-08-01 19:03:00,1,2,macos-latest,0
GHA-5009,payment-service,ci-build.yml,workflow_dispatch,completed,success,2026-08-01 21:40:00,2026-08-01 21:55:00,1,2,macos-latest,0
GHA-5010,payment-service,security-audit.yml,push,completed,success,2026-08-01 22:47:00,2026-08-01 22:56:00,1,3,macos-latest,0
GHA-5011,web-client,integration-tests.yml,schedule,completed,success,2026-08-02 00:46:00,2026-08-02 00:55:00,1,3,windows-latest,0
GHA-5012,web-client,security-audit.yml,push,completed,success,2026-08-02 02:45:00,2026-08-02 02:59:00,1,6,self-hosted-runner,0
GHA-5013,payment-service,integration-tests.yml,push,completed,timed_out,2026-08-02 05:33:00,2026-08-02 05:42:00,1,3,windows-latest,1
GHA-5014,payment-service,cd-deploy-k8s.yml,push,completed,success,2026-08-02 08:00:00,2026-08-02 08:08:00,1,3,macos-latest,0
GHA-5015,SW2627-AI-ReleaseGuard,integration-tests.yml,push,completed,success,2026-08-02 10:37:00,2026-08-02 10:40:00,1,2,self-hosted-runner,0
GHA-5016,auth-gateway,security-audit.yml,workflow_dispatch,completed,success,2026-08-02 13:16:00,2026-08-02 13:19:00,1,5,macos-latest,0
GHA-5017,payment-service,security-audit.yml,push,completed,success,2026-08-02 14:52:00,2026-08-02 14:58:00,1,7,windows-latest,0
GHA-5018,SW2627-AI-ReleaseGuard,integration-tests.yml,push,completed,success,2026-08-02 16:29:00,2026-08-02 16:37:00,1,5,windows-latest,0
GHA-5019,web-client,ci-build.yml,pull_request,completed,success,2026-08-02 19:11:00,2026-08-02 19:30:00,1,5,macos-latest,0
GHA-5020,user-service,integration-tests.yml,workflow_dispatch,completed,success,2026-08-02 20:41:00,2026-08-02 20:45:00,1,2,self-hosted-runner,0
GHA-5021,user-service,security-audit.yml,pull_request,completed,success,2026-08-02 22:44:00,2026-08-02 22:51:00,1,2,windows-latest,0
GHA-5022,payment-service,ci-build.yml,workflow_dispatch,completed,success,2026-08-03 00:45:00,2026-08-03 00:50:00,1,2,windows-latest,0
GHA-5023,user-service,release-tagger.yml,workflow_dispatch,completed,success,2026-08-03 02:17:00,2026-08-03 02:39:00,1,6,ubuntu-latest,0
GHA-5024,auth-gateway,security-audit.yml,pull_request,completed,success,2026-08-03 05:02:00,2026-08-03 05:15:00,1,5,macos-latest,0
GHA-5025,payment-service,security-audit.yml,push,completed,success,2026-08-03 07:45:00,2026-08-03 08:09:00,1,3,ubuntu-latest,0
GHA-5026,SW2627-AI-ReleaseGuard,integration-tests.yml,schedule,completed,success,2026-08-03 10:14:00,2026-08-03 10:22:00,1,7,windows-latest,0
GHA-5027,SW2627-AI-ReleaseGuard,release-tagger.yml,pull_request,completed,timed_out,2026-08-03 12:44:00,2026-08-03 12:50:00,1,4,self-hosted-runner,2
GHA-5028,SW2627-AI-ReleaseGuard,integration-tests.yml,pull_request,completed,success,2026-08-03 14:20:00,2026-08-03 14:31:00,1,6,ubuntu-latest,0
GHA-5029,user-service,security-audit.yml,pull_request,completed,success,2026-08-03 15:14:00,2026-08-03 15:27:00,1,4,macos-latest,0
GHA-5030,web-client,release-tagger.yml,workflow_dispatch,completed,success,2026-08-03 16:13:00,2026-08-03 16:22:00,1,3,windows-latest,0
GHA-5031,user-service,ci-build.yml,workflow_dispatch,completed,success,2026-08-03 18:19:00,2026-08-03 18:28:00,1,3,windows-latest,0
GHA-5032,auth-gateway,integration-tests.yml,schedule,completed,success,2026-08-03 20:37:00,2026-08-03 21:00:00,1,3,ubuntu-latest,0
GHA-5033,web-client,release-tagger.yml,schedule,completed,success,2026-08-03 22:22:00,2026-08-03 22:25:00,1,7,self-hosted-runner,0
GHA-5034,user-service,integration-tests.yml,schedule,completed,success,2026-08-03 23:30:00,2026-08-03 23:54:00,1,6,self-hosted-runner,0
GHA-5035,auth-gateway,ci-build.yml,push,completed,success,2026-08-04 00:40:00,2026-08-04 00:59:00,1,6,macos-latest,0
GHA-5036,auth-gateway,release-tagger.yml,push,completed,success,2026-08-04 02:18:00,2026-08-04 02:34:00,1,3,macos-latest,0
GHA-5037,auth-gateway,security-audit.yml,schedule,completed,success,2026-08-04 03:44:00,2026-08-04 04:03:00,1,3,ubuntu-latest,0
GHA-5038,user-service,cd-deploy-k8s.yml,push,completed,success,2026-08-04 06:28:00,2026-08-04 06:50:00,1,2,windows-latest,0
GHA-5039,payment-service,release-tagger.yml,workflow_dispatch,completed,success,2026-08-04 08:05:00,2026-08-04 08:25:00,1,7,self-hosted-runner,0
GHA-5040,payment-service,ci-build.yml,pull_request,completed,success,2026-08-04 10:35:00,2026-08-04 10:53:00,1,6,macos-latest,0
