workflow_run_id,repository,workflow_name,event_trigger,status,conclusion,created_at,updated_at,runner_os
928374615,org/payment-service,Production Release CD,push,completed,success,2024-03-15 14:00:00,2024-03-15 14:18:00,ubuntu-latest
928374616,org/auth-service,Production Release CD,push,completed,success,2024-03-15 14:15:00,2024-03-15 14:30:00,ubuntu-latest
928374617,org/payment-service,Test Suite,push,completed,failure,2024-03-15 14:25:00,2024-03-15 14:42:00,ubuntu-latest
928374618,org/user-service,Production Release CD,workflow_dispatch,completed,failure,2024-03-15 15:00:00,2024-03-15 15:22:00,ubuntu-latest
928374619,org/auth-service,Staging Deploy,push,completed,success,2024-03-15 15:10:00,2024-03-15 15:27:00,ubuntu-latest
928374620,org/order-service,Production Release CD,push,completed,failure,2024-03-15 15:55:00,2024-03-15 16:12:00,ubuntu-latest
928374621,org/payment-service,Production Release CD,workflow_dispatch,completed,success,2024-03-15 16:30:00,2024-03-15 16:48:00,ubuntu-latest
928374622,org/order-service,Staging Deploy,push,completed,success,2024-03-15 17:00:00,2024-03-15 17:16:00,ubuntu-latest
928374623,org/auth-service,Production Release CD,push,in_progress,,2024-03-15 17:20:00,2024-03-15 17:24:00,ubuntu-latest
928374624,org/payment-service,Rollback Workflow,workflow_dispatch,completed,cancelled,2024-03-15 17:45:00,2024-03-15 17:49:00,ubuntu-latest
