pipeline_id,stage_name,job_name,status,timestamp,commit_id,branch,user,environment,job_duration_seconds,test_pass_rate,security_finding_count,lines_changed,error_category
PIPE-1001,Build,inventory-db-migrator_build_stag,Success,2026-08-01 10:44:46,ccb2b4,main,glory_ops,staging,166,0.95,1,673,None
PIPE-1001,Unit-Test,inventory-db-migrator_unit-test_stag,Failed,2026-08-01 10:47:41,ccb2b4,main,glory_ops,staging,175,0.72,6,815,NullPointerException
PIPE-1001,Security-Scan,inventory-db-migrator_security-scan_stag,Skipped,2026-08-01 10:54:51,ccb2b4,main,glory_ops,staging,430,1.0,0,0,None
PIPE-1001,Deploy,inventory-db-migrator_deploy_stag,Skipped,2026-08-01 10:58:47,ccb2b4,main,glory_ops,staging,236,1.0,0,0,None
PIPE-1001,Integration-Test,inventory-db-migrator_integration-test_stag,Skipped,2026-08-01 11:04:08,ccb2b4,main,glory_ops,staging,321,1.0,0,0,None
PIPE-1002,Build,auth-service_build_prod,Success,2026-08-01 13:18:39,c5798b,main,maya_eng,production,519,0.96,0,792,None
PIPE-1002,Unit-Test,auth-service_unit-test_prod,Success,2026-08-01 13:22:33,c5798b,main,maya_eng,production,234,0.98,0,253,None
PIPE-1002,Security-Scan,auth-service_security-scan_prod,Failed,2026-08-01 13:31:42,c5798b,main,maya_eng,production,549,0.71,1,176,DependencyTimeout
PIPE-1002,Deploy,auth-service_deploy_prod,Skipped,2026-08-01 13:37:00,c5798b,main,maya_eng,production,318,1.0,0,0,None
PIPE-1002,Integration-Test,auth-service_integration-test_prod,Skipped,2026-08-01 13:44:12,c5798b,main,maya_eng,production,432,1.0,0,0,None
PIPE-1003,Build,auth-service_build_deve,Success,2026-08-01 15:08:24,c7e3f9,main,saanvi_lead,development,384,0.98,0,785,None
PIPE-1003,Unit-Test,auth-service_unit-test_deve,Success,2026-08-01 15:09:43,c7e3f9,main,saanvi_lead,development,79,0.96,0,11,None
PIPE-1003,Security-Scan,auth-service_security-scan_deve,Success,2026-08-01 15:16:57,c7e3f9,main,saanvi_lead,development,434,0.98,0,411,None
PIPE-1003,Deploy,auth-service_deploy_deve,Success,2026-08-01 15:20:23,c7e3f9,main,saanvi_lead,development,206,1.0,0,280,None
PIPE-1003,Integration-Test,auth-service_integration-test_deve,Success,2026-08-01 15:28:43,c7e3f9,main,saanvi_lead,development,500,0.98,2,62,None
PIPE-1004,Build,payment-api_build_deve,Success,2026-08-01 18:38:59,c522c8,main,jordan_qa,development,59,0.95,0,138,None
PIPE-1004,Unit-Test,payment-api_unit-test_deve,Failed,2026-08-01 18:47:35,c522c8,main,jordan_qa,development,516,0.72,3,428,DependencyTimeout
PIPE-1004,Security-Scan,payment-api_security-scan_deve,Skipped,2026-08-01 18:53:08,c522c8,main,jordan_qa,development,333,1.0,0,0,None
PIPE-1004,Deploy,payment-api_deploy_deve,Skipped,2026-08-01 19:00:11,c522c8,main,jordan_qa,development,423,1.0,0,0,None
